,title,year,rating,metascore,director,stars,runtime(min),genre
69,The Greatest Show on Earth,1952,6.6,,Cecil B. DeMille,"['James Stewart', 'Charlton Heston', 'Betty Hutton', 'Cornel Wilde']",152,"Drama, Family, Romance"
70,An American in Paris,1951,7.2,83.0,Vincente Minnelli,"['Gene Kelly', 'Leslie Caron', 'Oscar Levant', 'Georges Guétary']",114,"Drama, Musical, Romance"
71,All About Eve,1950,8.2,98.0,Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']",138,Drama
72,All the King's Men,1949,7.4,,Robert Rossen,"['Broderick Crawford', 'John Ireland', 'Joanne Dru', 'John Derek']",110,"Drama, Film-Noir"
73,Hamlet,1948,7.6,82.0,Laurence Olivier,"['Laurence Olivier', 'Jean Simmons', 'John Laurie', 'Esmond Knight']",154,Drama
74,Gentleman's Agreement,1947,7.2,,Elia Kazan,"['Gregory Peck', 'Dorothy McGuire', 'John Garfield', 'Celeste Holm']",118,"Drama, Romance"
75,The Best Years of Our Lives,1946,8.1,93.0,William Wyler,"['Myrna Loy', 'Dana Andrews', 'Fredric March', 'Teresa Wright']",170,"Drama, Romance, War"
76,The Lost Weekend,1945,7.9,,Billy Wilder,"['Ray Milland', 'Jane Wyman', 'Phillip Terry', 'Howard Da Silva']",101,"Drama, Film-Noir"
77,Going My Way,1944,7.0,,Leo McCarey,"['Bing Crosby', 'Barry Fitzgerald', 'Frank McHugh', 'James Brown']",126,"Comedy, Drama, Music"
78,Mrs. Miniver,1942,7.6,,William Wyler,"['Greer Garson', 'Walter Pidgeon', 'Teresa Wright', 'May Whitty']",134,"Drama, Romance, War"
79,Casablanca,1942,8.5,100.0,Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']",102,"Drama, Romance, War"
80,How Green Was My Valley,1941,7.7,88.0,John Ford,"['Walter Pidgeon', ""Maureen O'Hara"", 'Anna Lee', 'Donald Crisp']",118,"Drama, Family"
81,Rebecca,1940,8.1,86.0,Alfred Hitchcock,"['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson']",130,"Drama, Film-Noir, Mystery"
82,Gone with the Wind,1939,8.2,97.0,Victor Fleming,"['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]",238,"Drama, Romance, War"
83,You Can't Take It with You,1938,7.8,,Frank Capra,"['Jean Arthur', 'James Stewart', 'Lionel Barrymore', 'Edward Arnold']",126,"Comedy, Drama, Romance"
84,The Life of Emile Zola,1937,7.2,,William Dieterle,"['Paul Muni', 'Gale Sondergaard', 'Joseph Schildkraut', 'Gloria Holden']",116,"Biography, Drama"
85,The Great Ziegfeld,1936,6.7,,Florenz Ziegfeld Jr.,"['Robert Z. Leonard', 'William Powell', 'Myrna Loy', 'Luise Rainer', 'Frank Morgan']",176,"Drama, Musical"
86,Mutiny on the Bounty,1935,7.7,87.0,Frank Lloyd,"['Charles Laughton', 'Clark Gable', 'Franchot Tone', 'Herbert Mundin']",132,"Adventure, Biography, Drama"
87,It Happened One Night,1934,8.1,87.0,Frank Capra,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']",105,"Comedy, Romance"
88,Cavalcade,1933,5.8,,Frank Lloyd,"['Diana Wynyard', 'Clive Brook', ""Una O'Connor"", 'Herbert Mundin']",112,"Drama, Romance, War"
89,Grand Hotel,1932,7.3,,Edmund Goulding,"['Greta Garbo', 'John Barrymore', 'Joan Crawford', 'Wallace Beery']",112,"Drama, Romance"
90,Cimarron,1931,5.8,70.0,Wesley Ruggles,"['Richard Dix', 'Irene Dunne', 'Estelle Taylor', ""Nance O'Neil""]",123,"Drama, Western"
91,All Quiet on the Western Front,1930,8.1,91.0,Lewis Milestone,"['Lew Ayres', 'Louis Wolheim', 'John Wray', 'Arnold Lucy']",152,"Drama, War"
92,The Broadway Melody,1929,5.6,,Harry Beaumont,"['Bessie Love', 'Anita Page', 'Charles King', 'Eddie Kane']",100,"Drama, Musical, Romance"
93,Wings,1927,7.6,,William A. Wellman,"[""Harry d'Abbadie d'Arrast"", 'Clara Bow', ""Charles 'Buddy' Rogers"", 'Richard Arlen', 'Jobyna Ralston']",144,"Drama, Romance, War"
94,Sunrise,1927,8.1,,F.W. Murnau,"[""George O'Brien"", 'Janet Gaynor', 'Margaret Livingston', 'Bodil Rosing']",94,"Drama, Romance"
